Program,Hubspot ID,Time Zone,Program Name,Current Cohort,Deposit Paid Date,Status,payment_status,Current Payment Status,Payment Mode,Call Status,Upfront/Non-Upfront payment,Original SSA
Agentic SkillUp,9270951,America/Los_Angeles,Applied Agentic AI Program for EM,Applied Agentic AI for EM's - 2nd Mid-April 2026,27-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Manish
Step Up,9294652,America/Los_Angeles,Backend Interview Prep Fast Track Program,,27-Mar-2026,Refunded,has_paid_in_full,Refunded,CLIMBCREDIT,Incomplete OB ,Upfront Payment,Pragya
EdgeUp,9547076,America/New_York,EdgeUp 2026 Engineering Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for EM's - Early-June 2026,27-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Archi
Agentic SkillUp,14240161,America/Los_Angeles,AI Engineering,Applied Agentic AI for SWEs - Mid-April 2026,27-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Anwesh
Agentic SkillUp,76204851,America/New_York,AI Engineering,Data Analyst & Business Analyst Interview Prep - Mid-April 2026,27-Mar-2026,ENROLLED_WITH_NO_DUES,Refunded,Refunded,STRIPE_CARD,Onboarded,Upfront Payment,Zeeshan
EdgeUp Step Up,474010455,America/Los_Angeles,EdgeUp 2026 Fullstack StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Early-May 2026,27-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Disha
EdgeUp,264727751,America/New_York,EdgeUp 2026 Engineering Manager LevelUp Program (with Agentic AI Interview Prep),Engineering Management Interview Prep - Early-April 2026,27-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Anjali
Paid Upgrade,119785719125,America/Los_Angeles,Backend Interview Preparation Pathway,Backend Interview Prep Pathway - Early-April 2026,27-Mar-2026,Refunded,has_paid_in_full,Refunded,ACH_TRANSFER,Onboarded,Upfront Payment,Pragya
Paid Upgrade,208376434068,America/Los_Angeles,Backend Interview Preparation Pathway,Applied Agentic AI - Early-April 2026,27-Mar-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Sanjana
#VALUE!,211349201269,America/Los_Angeles,5,Applied Agentic AI - 2nd Mid-April 2026,27-Mar-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Safoora
Level Up,211598360127,America/New_York,Data Engineering Interview Prep Program,Data Engineering Interview Prep - Early-April 2026,27-Mar-2026,ENROLLED,Refunded,Flexipay Refunded,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Ajil
EdgeUp Step Up,211613427478,America/Los_Angeles,EdgeUp 2026 Engineering Management StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for EM's - Early-June 2026,27-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Arush
Fast Track Adv.ML,9271441,America/Los_Angeles,Fast Track Advanced Machine Learning Program,Fast Track Advanced Machine Learning,27-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Archi
EdgeUp,9272409,America/Los_Angeles,EdgeUp 2026 Engineering Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for EM's - Early-April 2026,27-Mar-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Ajil
